TypeAchat,Sexe,ClasseAge,Formation,Annee,NbrPersonnes
Achat en ligne au cours des 3 derniers mois,Total,Total,Total,2017,4612063
Achat en ligne au cours des 3 derniers mois,Total,Total,Sans formation post-obligatoire (25+),2017,464164
Achat en ligne au cours des 3 derniers mois,Total,Total,Niveau secondaire (25+),2017,1763281
Achat en ligne au cours des 3 derniers mois,Total,Total,Niveau tertiaire (25+),2017,1688595
Achat en ligne au cours des 3 derniers mois,Total,Total,-25ans,2017,696022
Achat en ligne au cours des 3 derniers mois,Total,15-29,Total,2017,1146237
Achat en ligne au cours des 3 derniers mois,Total,15-29,Sans formation post-obligatoire (25+),2017,NA
Achat en ligne au cours des 3 derniers mois,Total,15-29,Niveau secondaire (25+),2017,207371
Achat en ligne au cours des 3 derniers mois,Total,15-29,Niveau tertiaire (25+),2017,210274
Achat en ligne au cours des 3 derniers mois,Total,15-29,-25ans,2017,696022
Achat en ligne au cours des 3 derniers mois,Total,30-59,Total,2017,2798217
Achat en ligne au cours des 3 derniers mois,Total,30-59,Sans formation post-obligatoire (25+),2017,333070
Achat en ligne au cours des 3 derniers mois,Total,30-59,Niveau secondaire (25+),2017,1215924
Achat en ligne au cours des 3 derniers mois,Total,30-59,Niveau tertiaire (25+),2017,1249222
Achat en ligne au cours des 3 derniers mois,Total,30-59,-25ans,2017,NA
Achat en ligne au cours des 3 derniers mois,Total,60+,Total,2017,667610
Achat en ligne au cours des 3 derniers mois,Total,60+,Sans formation post-obligatoire (25+),2017,98524
Achat en ligne au cours des 3 derniers mois,Total,60+,Niveau secondaire (25+),2017,339986
Achat en ligne au cours des 3 derniers mois,Total,60+,Niveau tertiaire (25+),2017,229099
Achat en ligne au cours des 3 derniers mois,Total,60+,-25ans,2017,NA
Achat en ligne au cours des 3 derniers mois,Homme,Total,Total,2017,2336686
Achat en ligne au cours des 3 derniers mois,Homme,Total,Sans formation post-obligatoire (25+),2017,232308
Achat en ligne au cours des 3 derniers mois,Homme,Total,Niveau secondaire (25+),2017,776630
Achat en ligne au cours des 3 derniers mois,Homme,Total,Niveau tertiaire (25+),2017,960761
Achat en ligne au cours des 3 derniers mois,Homme,Total,-25ans,2017,366988
Achat en ligne au cours des 3 derniers mois,Homme,15-29,Total,2017,568081
Achat en ligne au cours des 3 derniers mois,Homme,15-29,Sans formation post-obligatoire (25+),2017,NA
Achat en ligne au cours des 3 derniers mois,Homme,15-29,Niveau secondaire (25+),2017,102906
Achat en ligne au cours des 3 derniers mois,Homme,15-29,Niveau tertiaire (25+),2017,NA
Achat en ligne au cours des 3 derniers mois,Homme,15-29,-25ans,2017,366988
Achat en ligne au cours des 3 derniers mois,Homme,30-59,Total,2017,1419384
Achat en ligne au cours des 3 derniers mois,Homme,30-59,Sans formation post-obligatoire (25+),2017,176973
Achat en ligne au cours des 3 derniers mois,Homme,30-59,Niveau secondaire (25+),2017,521855
Achat en ligne au cours des 3 derniers mois,Homme,30-59,Niveau tertiaire (25+),2017,720555
Achat en ligne au cours des 3 derniers mois,Homme,30-59,-25ans,2017,NA
Achat en ligne au cours des 3 derniers mois,Homme,60+,Total,2017,349222
Achat en ligne au cours des 3 derniers mois,Homme,60+,Sans formation post-obligatoire (25+),2017,NA
Achat en ligne au cours des 3 derniers mois,Homme,60+,Niveau secondaire (25+),2017,151869
Achat en ligne au cours des 3 derniers mois,Homme,60+,Niveau tertiaire (25+),2017,153121
Achat en ligne au cours des 3 derniers mois,Homme,60+,-25ans,2017,NA
Achat en ligne au cours des 3 derniers mois,Femme,Total,Total,2017,2275377
Achat en ligne au cours des 3 derniers mois,Femme,Total,Sans formation post-obligatoire (25+),2017,231857
Achat en ligne au cours des 3 derniers mois,Femme,Total,Niveau secondaire (25+),2017,986652
Achat en ligne au cours des 3 derniers mois,Femme,Total,Niveau tertiaire (25+),2017,727835
Achat en ligne au cours des 3 derniers mois,Femme,Total,-25ans,2017,329034
Achat en ligne au cours des 3 derniers mois,Femme,15-29,Total,2017,578156
Achat en ligne au cours des 3 derniers mois,Femme,15-29,Sans formation post-obligatoire (25+),2017,NA
Achat en ligne au cours des 3 derniers mois,Femme,15-29,Niveau secondaire (25+),2017,104465
Achat en ligne au cours des 3 derniers mois,Femme,15-29,Niveau tertiaire (25+),2017,123190
Achat en ligne au cours des 3 derniers mois,Femme,15-29,-25ans,2017,329034
Achat en ligne au cours des 3 derniers mois,Femme,30-59,Total,2017,1378833
Achat en ligne au cours des 3 derniers mois,Femme,30-59,Sans formation post-obligatoire (25+),2017,156097
Achat en ligne au cours des 3 derniers mois,Femme,30-59,Niveau secondaire (25+),2017,694070
Achat en ligne au cours des 3 derniers mois,Femme,30-59,Niveau tertiaire (25+),2017,528667
Achat en ligne au cours des 3 derniers mois,Femme,30-59,-25ans,2017,NA
Achat en ligne au cours des 3 derniers mois,Femme,60+,Total,2017,318388
Achat en ligne au cours des 3 derniers mois,Femme,60+,Sans formation post-obligatoire (25+),2017,NA
Achat en ligne au cours des 3 derniers mois,Femme,60+,Niveau secondaire (25+),2017,188117
Achat en ligne au cours des 3 derniers mois,Femme,60+,Niveau tertiaire (25+),2017,75978
Achat en ligne au cours des 3 derniers mois,Femme,60+,-25ans,2017,NA
Achat en ligne au cours des 12 derniers mois,Total,Total,Total,2017,4925593
Achat en ligne au cours des 12 derniers mois,Total,Total,Sans formation post-obligatoire (25+),2017,526272
Achat en ligne au cours des 12 derniers mois,Total,Total,Niveau secondaire (25+),2017,1899252
Achat en ligne au cours des 12 derniers mois,Total,Total,Niveau tertiaire (25+),2017,1751057
Achat en ligne au cours des 12 derniers mois,Total,Total,-25ans,2017,749013
Achat en ligne au cours des 12 derniers mois,Total,15-29,Total,2017,1226685
Achat en ligne au cours des 12 derniers mois,Total,15-29,Sans formation post-obligatoire (25+),2017,NA
Achat en ligne au cours des 12 derniers mois,Total,15-29,Niveau secondaire (25+),2017,223880
Achat en ligne au cours des 12 derniers mois,Total,15-29,Niveau tertiaire (25+),2017,216770
Achat en ligne au cours des 12 derniers mois,Total,15-29,-25ans,2017,749013
Achat en ligne au cours des 12 derniers mois,Total,30-59,Total,2017,2941112
Achat en ligne au cours des 12 derniers mois,Total,30-59,Sans formation post-obligatoire (25+),2017,371763
Achat en ligne au cours des 12 derniers mois,Total,30-59,Niveau secondaire (25+),2017,1283580
Achat en ligne au cours des 12 derniers mois,Total,30-59,Niveau tertiaire (25+),2017,1285768
Achat en ligne au cours des 12 derniers mois,Total,30-59,-25ans,2017,NA
Achat en ligne au cours des 12 derniers mois,Total,60+,Total,2017,757797
Achat en ligne au cours des 12 derniers mois,Total,60+,Sans formation post-obligatoire (25+),2017,117486
Achat en ligne au cours des 12 derniers mois,Total,60+,Niveau secondaire (25+),2017,391792
Achat en ligne au cours des 12 derniers mois,Total,60+,Niveau tertiaire (25+),2017,248518
Achat en ligne au cours des 12 derniers mois,Total,60+,-25ans,2017,NA
Achat en ligne au cours des 12 derniers mois,Homme,Total,Total,2017,2490713
Achat en ligne au cours des 12 derniers mois,Homme,Total,Sans formation post-obligatoire (25+),2017,267629
Achat en ligne au cours des 12 derniers mois,Homme,Total,Niveau secondaire (25+),2017,846581
Achat en ligne au cours des 12 derniers mois,Homme,Total,Niveau tertiaire (25+),2017,988090
Achat en ligne au cours des 12 derniers mois,Homme,Total,-25ans,2017,388413
Achat en ligne au cours des 12 derniers mois,Homme,15-29,Total,2017,606402
Achat en ligne au cours des 12 derniers mois,Homme,15-29,Sans formation post-obligatoire (25+),2017,NA
Achat en ligne au cours des 12 derniers mois,Homme,15-29,Niveau secondaire (25+),2017,115351
Achat en ligne au cours des 12 derniers mois,Homme,15-29,Niveau tertiaire (25+),2017,NA
Achat en ligne au cours des 12 derniers mois,Homme,15-29,-25ans,2017,388413
Achat en ligne au cours des 12 derniers mois,Homme,30-59,Total,2017,1493709
Achat en ligne au cours des 12 derniers mois,Homme,30-59,Sans formation post-obligatoire (25+),2017,199592
Achat en ligne au cours des 12 derniers mois,Homme,30-59,Niveau secondaire (25+),2017,554578
Achat en ligne au cours des 12 derniers mois,Homme,30-59,Niveau tertiaire (25+),2017,739538
Achat en ligne au cours des 12 derniers mois,Homme,30-59,-25ans,2017,NA
Achat en ligne au cours des 12 derniers mois,Homme,60+,Total,2017,390602
Achat en ligne au cours des 12 derniers mois,Homme,60+,Sans formation post-obligatoire (25+),2017,NA
Achat en ligne au cours des 12 derniers mois,Homme,60+,Niveau secondaire (25+),2017,176652
Achat en ligne au cours des 12 derniers mois,Homme,60+,Niveau tertiaire (25+),2017,161468
Achat en ligne au cours des 12 derniers mois,Homme,60+,-25ans,2017,NA
Achat en ligne au cours des 12 derniers mois,Femme,Total,Total,2017,2434880
Achat en ligne au cours des 12 derniers mois,Femme,Total,Sans formation post-obligatoire (25+),2017,258643
Achat en ligne au cours des 12 derniers mois,Femme,Total,Niveau secondaire (25+),2017,1052671
Achat en ligne au cours des 12 derniers mois,Femme,Total,Niveau tertiaire (25+),2017,762967
Achat en ligne au cours des 12 derniers mois,Femme,Total,-25ans,2017,360600
Achat en ligne au cours des 12 derniers mois,Femme,15-29,Total,2017,620283
Achat en ligne au cours des 12 derniers mois,Femme,15-29,Sans formation post-obligatoire (25+),2017,NA
Achat en ligne au cours des 12 derniers mois,Femme,15-29,Niveau secondaire (25+),2017,108530
Achat en ligne au cours des 12 derniers mois,Femme,15-29,Niveau tertiaire (25+),2017,129686
Achat en ligne au cours des 12 derniers mois,Femme,15-29,-25ans,2017,360600
Achat en ligne au cours des 12 derniers mois,Femme,30-59,Total,2017,1447402
Achat en ligne au cours des 12 derniers mois,Femme,30-59,Sans formation post-obligatoire (25+),2017,172171
Achat en ligne au cours des 12 derniers mois,Femme,30-59,Niveau secondaire (25+),2017,729001
Achat en ligne au cours des 12 derniers mois,Femme,30-59,Niveau tertiaire (25+),2017,546230
Achat en ligne au cours des 12 derniers mois,Femme,30-59,-25ans,2017,NA
Achat en ligne au cours des 12 derniers mois,Femme,60+,Total,2017,367194
Achat en ligne au cours des 12 derniers mois,Femme,60+,Sans formation post-obligatoire (25+),2017,NA
Achat en ligne au cours des 12 derniers mois,Femme,60+,Niveau secondaire (25+),2017,215140
Achat en ligne au cours des 12 derniers mois,Femme,60+,Niveau tertiaire (25+),2017,87050
Achat en ligne au cours des 12 derniers mois,Femme,60+,-25ans,2017,NA
Achat en ligne au moins une fois dans sa vie,Total,Total,Total,2017,5090638
Achat en ligne au moins une fois dans sa vie,Total,Total,Sans formation post-obligatoire (25+),2017,558160
Achat en ligne au moins une fois dans sa vie,Total,Total,Niveau secondaire (25+),2017,1965744
Achat en ligne au moins une fois dans sa vie,Total,Total,Niveau tertiaire (25+),2017,1798732
Achat en ligne au moins une fois dans sa vie,Total,Total,-25ans,2017,768002
Achat en ligne au moins une fois dans sa vie,Total,15-29,Total,2017,1251944
Achat en ligne au moins une fois dans sa vie,Total,15-29,Sans formation post-obligatoire (25+),2017,NA
Achat en ligne au moins une fois dans sa vie,Total,15-29,Niveau secondaire (25+),2017,230150
Achat en ligne au moins une fois dans sa vie,Total,15-29,Niveau tertiaire (25+),2017,216770
Achat en ligne au moins une fois dans sa vie,Total,15-29,-25ans,2017,768002
Achat en ligne au moins une fois dans sa vie,Total,30-59,Total,2017,3033496
Achat en ligne au moins une fois dans sa vie,Total,30-59,Sans formation post-obligatoire (25+),2017,395770
Achat en ligne au moins une fois dans sa vie,Total,30-59,Niveau secondaire (25+),2017,1315168
Achat en ligne au moins une fois dans sa vie,Total,30-59,Niveau tertiaire (25+),2017,1322558
Achat en ligne au moins une fois dans sa vie,Total,30-59,-25ans,2017,NA
Achat en ligne au moins une fois dans sa vie,Total,60+,Total,2017,805198
Achat en ligne au moins une fois dans sa vie,Total,60+,Sans formation post-obligatoire (25+),2017,125369
Achat en ligne au moins une fois dans sa vie,Total,60+,Niveau secondaire (25+),2017,420426
Achat en ligne au moins une fois dans sa vie,Total,60+,Niveau tertiaire (25+),2017,259403
Achat en ligne au moins une fois dans sa vie,Total,60+,-25ans,2017,NA
Achat en ligne au moins une fois dans sa vie,Homme,Total,Total,2017,2576298
Achat en ligne au moins une fois dans sa vie,Homme,Total,Sans formation post-obligatoire (25+),2017,282650
Achat en ligne au moins une fois dans sa vie,Homme,Total,Niveau secondaire (25+),2017,884113
Achat en ligne au moins une fois dans sa vie,Homme,Total,Niveau tertiaire (25+),2017,1011986
Achat en ligne au moins une fois dans sa vie,Homme,Total,-25ans,2017,397549
Achat en ligne au moins une fois dans sa vie,Homme,15-29,Total,2017,615538
Achat en ligne au moins une fois dans sa vie,Homme,15-29,Sans formation post-obligatoire (25+),2017,NA
Achat en ligne au moins une fois dans sa vie,Homme,15-29,Niveau secondaire (25+),2017,115351
Achat en ligne au moins une fois dans sa vie,Homme,15-29,Niveau tertiaire (25+),2017,NA
Achat en ligne au moins une fois dans sa vie,Homme,15-29,-25ans,2017,397549
Achat en ligne au moins une fois dans sa vie,Homme,30-59,Total,2017,1538059
